Time,X,Y,Z,Temp
Connect Success. Format: Time(ms),X(g),Y(g),Z(g),Temp(C)
1054430,0.00981,0.94644,-0.32326,31.30
1054431,0.00957,0.94627,-0.32216,31.30
1054433,0.01135,0.94513,-0.32131,31.30
1054434,0.01209,0.94467,-0.32208,31.30
1054435,0.01229,0.94392,-0.32100,31.30
1054436,0.01215,0.94327,-0.32166,31.30
1054437,0.01126,0.94343,-0.32102,31.30
1054438,0.01226,0.94314,-0.32075,30.97
1054440,0.01056,0.94174,-0.32157,30.97
1054441,0.01000,0.94311,-0.32125,30.97
1054442,0.01015,0.94336,-0.32356,30.97
1054443,0.00998,0.94294,-0.32182,30.97
1054444,0.01010,0.94330,-0.32295,30.97
1054445,0.01100,0.94221,-0.32187,30.97
1054447,0.01046,0.94247,-0.32182,31.19
1054448,0.01019,0.94108,-0.32187,31.19
1054449,0.01036,0.94180,-0.32285,31.19
1054450,0.01053,0.94071,-0.32186,31.19
1054451,0.00999,0.94167,-0.32187,31.19
1054453,0.01062,0.94082,-0.32198,31.19
1054454,0.01156,0.94115,-0.32226,31.19
1054455,0.01232,0.94208,-0.32237,31.30
1054456,0.01062,0.94329,-0.32063,31.30
1054457,0.01142,0.94372,-0.32177,31.30
1054459,0.01084,0.94347,-0.32182,31.30
1054460,0.01110,0.94465,-0.32232,31.30
1054461,0.01047,0.94610,-0.32301,31.30
1054462,0.01066,0.94532,-0.32213,31.19
1054463,0.00998,0.94536,-0.32324,31.19
1054465,0.01002,0.94516,-0.32274,31.19
1054466,0.01108,0.94532,-0.32336,31.19
1054467,0.00956,0.94435,-0.32308,31.19
1054468,0.01085,0.94392,-0.32206,31.19
1054469,0.01044,0.94395,-0.32264,31.19
1054470,0.00954,0.94386,-0.32336,31.19
1054472,0.01069,0.94376,-0.32331,31.19
1054473,0.00849,0.94279,-0.32279,31.19
1054476,0.01172,0.94407,-0.32199,31.19
1054477,0.01254,0.94240,-0.32088,31.19
1054479,0.01150,0.94387,-0.32176,31.19
1054480,0.01264,0.94289,-0.32212,31.19
1054482,0.00963,0.94430,-0.32152,31.19
1054483,0.01030,0.94547,-0.31986,31.19
1054484,0.01147,0.94468,-0.32346,31.19
1054485,0.01252,0.94473,-0.32343,31.19
1054486,0.01146,0.94697,-0.32138,31.19
1054487,0.01320,0.94541,-0.32124,31.19
1054489,0.01338,0.94449,-0.32375,31.19
1054490,0.01068,0.94484,-0.32280,31.19
1054491,0.01064,0.94581,-0.32285,31.19
1054492,0.01152,0.94599,-0.32345,31.19
1054493,0.01045,0.94549,-0.32288,31.19
1054495,0.01046,0.94488,-0.32347,31.19
1054496,0.01078,0.94605,-0.32384,31.19
1054497,0.01058,0.94609,-0.32269,31.19
1054498,0.00817,0.94668,-0.32251,31.19
1054499,0.01207,0.94594,-0.32207,31.19
1054500,0.01135,0.94606,-0.32217,31.19
1054502,0.01038,0.94532,-0.32176,31.19
1054503,0.01238,0.94379,-0.32218,31.19
1054504,0.01203,0.94325,-0.32195,31.19
1054505,0.01204,0.94269,-0.32208,31.19
1054506,0.01162,0.94268,-0.32312,31.19
1054507,0.01032,0.94195,-0.32216,31.19
1054509,0.00978,0.94238,-0.32149,31.19
1054510,0.00989,0.94174,-0.32192,31.19
1054511,0.00940,0.94179,-0.32132,31.19
1054512,0.00882,0.94214,-0.32213,31.19
1054513,0.01048,0.94200,-0.32288,31.19
1054515,0.01001,0.94181,-0.32331,31.19
1054516,0.00987,0.94205,-0.32282,31.19
1054517,0.01032,0.94116,-0.32121,31.19
1054518,0.01005,0.94233,-0.32187,31.19
1054521,0.01091,0.94310,-0.32167,31.19
1054523,0.01199,0.94179,-0.32104,31.19
1054531,0.00784,0.94202,-0.32170,31.19
1054533,0.00921,0.94283,-0.32140,31.19
1054534,0.00887,0.94417,-0.32000,31.19
1054535,0.00968,0.94440,-0.32134,31.30
1054536,0.01143,0.94483,-0.32133,31.30
1054537,0.01133,0.94499,-0.32323,31.30
1054538,0.01189,0.94535,-0.32312,31.30
1054540,0.01201,0.94646,-0.32221,31.30
1054541,0.01298,0.94553,-0.32356,31.30
1054542,0.01276,0.94720,-0.32191,31.30
1054543,0.01247,0.94597,-0.32159,31.19
1054544,0.01210,0.94474,-0.32258,31.19
1054545,0.01069,0.94552,-0.32351,31.19
1054547,0.00925,0.94484,-0.32410,31.19
1054548,0.00944,0.94430,-0.32300,31.19
1054549,0.00960,0.94405,-0.32249,31.19
1054550,0.00872,0.94563,-0.32282,31.19
1054551,0.00881,0.94563,-0.32161,31.52
1054553,0.00918,0.94511,-0.32303,31.52
1054554,0.00964,0.94423,-0.32320,31.52
1054555,0.00977,0.94498,-0.32370,31.52
1054557,0.01028,0.94444,-0.32241,31.52
1054558,0.01030,0.94374,-0.32221,31.52
1054559,0.01124,0.94380,-0.32140,31.19
1054560,0.01106,0.94396,-0.32165,31.19
1054561,0.01206,0.94439,-0.32067,31.19
1054563,0.01197,0.94490,-0.32144,31.19
1054564,0.01218,0.94417,-0.32143,31.19
1054565,0.01310,0.94372,-0.32240,31.19
1054569,0.01029,0.94383,-0.32228,31.30
1054571,0.01014,0.94360,-0.32345,31.30
1054572,0.00921,0.94485,-0.32254,31.30
1054574,0.01015,0.94533,-0.32300,31.30
1054575,0.01031,0.94454,-0.32152,31.30
1054576,0.01033,0.94480,-0.32227,31.30
1054577,0.01018,0.94512,-0.32314,31.30
1054579,0.01175,0.94511,-0.32423,31.30
1054580,0.01220,0.94395,-0.32322,31.30
1054581,0.01143,0.94457,-0.32337,31.30
1054582,0.01055,0.94533,-0.32290,31.30
1054583,0.01075,0.94404,-0.32298,31.19
1054584,0.01123,0.94411,-0.32232,31.19
1054586,0.01117,0.94412,-0.32247,31.19
1054587,0.01053,0.94360,-0.32186,31.19
1054588,0.00926,0.94380,-0.32239,31.19
1054589,0.00906,0.94546,-0.32152,31.19
1054590,0.00948,0.94372,-0.32336,31.19
1054592,0.01030,0.94463,-0.32255,31.19
1054593,0.00940,0.94370,-0.32238,31.19
1054594,0.00951,0.94424,-0.32297,31.19
1054595,0.00979,0.94454,-0.32260,31.19
1054596,0.01079,0.94348,-0.32241,31.19
1054597,0.01138,0.94307,-0.32151,31.19
1054599,0.01006,0.94128,-0.32221,31.19
1054600,0.01036,0.94199,-0.32115,31.19
1054601,0.01003,0.94139,-0.32166,31.19
1054602,0.01025,0.94117,-0.32270,31.19
1054603,0.01129,0.94260,-0.32269,31.19
1054604,0.01008,0.94257,-0.32469,31.19
1054606,0.00980,0.94355,-0.32432,31.19
1054607,0.00965,0.94421,-0.32388,31.19
1054608,0.01084,0.94355,-0.32183,31.19
1054609,0.00964,0.94401,-0.31985,31.19
1054610,0.00939,0.94364,-0.32041,31.19
1054612,0.01061,0.94593,-0.32265,31.19
1054615,0.01118,0.94619,-0.32555,31.19
1054616,0.01072,0.94623,-0.32405,31.19
1054618,0.01112,0.94463,-0.32239,31.19
1054622,0.01317,0.94264,-0.32239,31.19
1054623,0.01327,0.94148,-0.32275,31.08
1054624,0.01203,0.94215,-0.32068,31.08
1054626,0.01112,0.94139,-0.32142,31.08
1054627,0.01179,0.94022,-0.32198,31.08
1054629,0.00697,0.94176,-0.32135,31.08
1054630,0.00870,0.94362,-0.32091,31.08
1054631,0.01094,0.94016,-0.32332,31.19
1054632,0.00948,0.94252,-0.32267,31.19
1054634,0.00941,0.94190,-0.32196,31.19
1054635,0.01027,0.94177,-0.32173,31.19
1054636,0.00753,0.94296,-0.32191,31.19
1054637,0.01154,0.94122,-0.32330,31.19
1054638,0.00748,0.94039,-0.32095,31.19
1054640,0.00882,0.94409,-0.31914,31.19
1054641,0.01188,0.93942,-0.32330,31.19
1054642,0.01213,0.94336,-0.31802,31.19
1054643,0.01489,0.93919,-0.32149,31.19
1054644,0.01054,0.94266,-0.32015,31.19
1054646,0.01408,0.94244,-0.32123,31.19
1054647,0.00975,0.94382,-0.32022,31.30
1054648,0.01155,0.94644,-0.32120,31.30
1054649,0.01604,0.94326,-0.32464,31.30
1054650,0.00861,0.94554,-0.32135,31.30
1054651,0.00774,0.94580,-0.32308,31.30
1054653,0.01179,0.94368,-0.32511,31.30
1054654,0.00632,0.94763,-0.32247,31.30
1054655,0.00878,0.94616,-0.32416,31.19
1054656,0.01166,0.94431,-0.32583,31.19
1054658,0.00779,0.94591,-0.32277,31.19
1054659,0.00900,0.94539,-0.32296,31.19
1054660,0.01006,0.94400,-0.32409,31.19
1054661,0.00950,0.94607,-0.32077,31.19
1054663,0.00909,0.94330,-0.32148,31.19
1054664,0.01094,0.94268,-0.32070,31.30
1054665,0.01237,0.94385,-0.32087,31.30
1054668,0.01198,0.94265,-0.32180,31.30
1054669,0.01081,0.94306,-0.32290,31.30
1054671,0.00989,0.94477,-0.32389,31.30
1054672,0.00894,0.94543,-0.32425,31.30
1054673,0.00818,0.94542,-0.32297,31.30
1054675,0.00898,0.94538,-0.32195,31.30
1054676,0.00916,0.94432,-0.32343,31.30
1054677,0.00913,0.94378,-0.32260,31.30
1054679,0.00979,0.94250,-0.32336,31.19
1054683,0.01009,0.94139,-0.32139,31.19
1054684,0.01159,0.94346,-0.32089,31.19
1054685,0.01106,0.94246,-0.32044,31.19
1054687,0.01154,0.94263,-0.32223,31.19
1054688,0.01197,0.94377,-0.32105,31.19
1054689,0.01042,0.94417,-0.32125,31.19
1054690,0.01083,0.94488,-0.32232,31.19
1054691,0.01103,0.94498,-0.32281,31.19
1054692,0.01018,0.94557,-0.32251,31.19
1054694,0.00915,0.94557,-0.32290,31.19
1054695,0.00938,0.94511,-0.32279,31.19
1054696,0.01049,0.94448,-0.32151,31.19
1054697,0.00978,0.94371,-0.32166,31.19
1054699,0.00972,0.94304,-0.32172,31.19
1054700,0.01038,0.94266,-0.32235,31.19
1054701,0.01075,0.94326,-0.32106,31.19
1054702,0.01146,0.94261,-0.32329,31.19
1054703,0.01043,0.94268,-0.32377,31.19
1054704,0.01031,0.94224,-0.32217,31.19
1054706,0.00946,0.94249,-0.32188,31.19
1054707,0.01024,0.94373,-0.32179,31.19
1054708,0.00977,0.94446,-0.32257,31.19
1054709,0.01126,0.94548,-0.32075,31.19
1054710,0.01092,0.94545,-0.32366,31.19
1054712,0.01037,0.94441,-0.32412,31.19
1054713,0.01003,0.94452,-0.32275,31.19
1054714,0.00975,0.94396,-0.32295,31.19
1054715,0.00990,0.94355,-0.32205,31.19
1054716,0.01005,0.94413,-0.32270,31.19
1054717,0.01020,0.94352,-0.32101,31.19
1054719,0.01025,0.94396,-0.32226,31.19
1054720,0.00990,0.94343,-0.32384,31.30
1054721,0.00892,0.94277,-0.32238,31.30
1054722,0.00961,0.94250,-0.32175,31.30
1054723,0.00974,0.94151,-0.32160,31.30
1054724,0.01014,0.94229,-0.32109,31.30
1054727,0.01143,0.94188,-0.32236,31.19
1054729,0.01127,0.94205,-0.32216,31.19
1054730,0.01173,0.94308,-0.32168,31.19
1054731,0.01082,0.94325,-0.32134,31.19
1054732,0.00993,0.94287,-0.32067,31.19
1054733,0.01042,0.94317,-0.32139,31.19
1054735,0.00971,0.94300,-0.32212,31.19
1054737,0.01043,0.94388,-0.32315,31.19
1054738,0.01047,0.94528,-0.32348,31.19
1054740,0.01179,0.94497,-0.32233,31.19
1054741,0.01240,0.94563,-0.32339,31.19
1054742,0.01141,0.94561,-0.32209,31.19
1054744,0.00907,0.94626,-0.32304,31.19
1054745,0.00869,0.94834,-0.32263,31.19
1054746,0.01392,0.94465,-0.32528,31.19
1054747,0.01010,0.94685,-0.32448,31.19
1054748,0.01082,0.94590,-0.32299,31.19
1054749,0.00929,0.94704,-0.32137,31.19
1054751,0.00849,0.94615,-0.32221,31.19
1054753,0.00994,0.94609,-0.32233,31.30
1054754,0.01033,0.94565,-0.32263,31.30
1054755,0.01078,0.94595,-0.32437,31.30
1054756,0.00997,0.94583,-0.32236,31.30
1054758,0.01117,0.94518,-0.32314,31.30
1054759,0.01056,0.94496,-0.32474,31.19
1054760,0.00940,0.94571,-0.32384,31.19
1054761,0.01043,0.94483,-0.32312,31.19
1054763,0.00982,0.94567,-0.32404,31.19
1054764,0.01001,0.94532,-0.32374,31.19
1054765,0.01072,0.94486,-0.32408,31.19
1054766,0.00986,0.94484,-0.32363,31.19
1054767,0.01051,0.94415,-0.32370,31.19
1054768,0.00959,0.94479,-0.32392,31.19
1054770,0.01019,0.94279,-0.32314,31.19
1054771,0.00917,0.94211,-0.32267,31.19
1054772,0.00878,0.94195,-0.32100,31.19
1054773,0.00913,0.94075,-0.32099,31.19
1054776,0.01184,0.94163,-0.32035,31.30
1054785,0.01200,0.94526,-0.32261,31.19
1054786,0.01122,0.94616,-0.32361,31.19
1054787,0.01096,0.94646,-0.32315,31.19
1054788,0.01055,0.94686,-0.32366,31.19
1054789,0.01060,0.94648,-0.32309,31.19
1054790,0.00983,0.94567,-0.32412,31.19
1054792,0.01027,0.94619,-0.32373,31.19
1054793,0.00933,0.94651,-0.32368,31.19
1054794,0.00957,0.94610,-0.32253,31.19
1054795,0.01058,0.94548,-0.32193,31.19
1054796,0.01181,0.94518,-0.32166,31.19
1054797,0.01221,0.94452,-0.32178,31.19
1054799,0.01190,0.94359,-0.32183,31.19
1054800,0.01157,0.94411,-0.32281,31.19
1054801,0.01200,0.94399,-0.32080,31.19
1054802,0.01129,0.94245,-0.32221,31.19
1054803,0.01097,0.94348,-0.32174,31.19
1054805,0.01036,0.94283,-0.32364,31.19
1054806,0.00958,0.94403,-0.32357,31.19
1054807,0.00936,0.94288,-0.32466,31.19
1054808,0.00913,0.94150,-0.32351,31.19
1054809,0.00823,0.94042,-0.32329,31.19
1054810,0.00825,0.94017,-0.32179,31.19
1054812,0.00851,0.93974,-0.32089,31.19
1054813,0.00822,0.93898,-0.32163,31.19
1054814,0.00948,0.93875,-0.32212,31.19
1054815,0.00955,0.93865,-0.32191,31.19
1054816,0.00989,0.93864,-0.32234,31.19
1054817,0.01092,0.94044,-0.32149,31.19
1054819,0.01096,0.94238,-0.32224,31.19
1054820,0.01023,0.94465,-0.32255,31.19
1054821,0.00949,0.94560,-0.32444,31.19
1054822,0.00967,0.94771,-0.32196,31.19
1054824,0.01131,0.94817,-0.32074,31.19
1054825,0.01210,0.94665,-0.31948,31.19
1054827,0.01301,0.94521,-0.31909,31.19
1054831,0.01246,0.93872,-0.32102,31.19
1054832,0.01054,0.93823,-0.31995,31.30
1054833,0.00893,0.93779,-0.31973,31.30
1054835,0.00672,0.93951,-0.32060,31.30
1054836,0.00726,0.94089,-0.32131,31.30
1054837,0.00864,0.94258,-0.32178,31.30
1054838,0.00977,0.94529,-0.32063,31.30
1054840,0.01138,0.94721,-0.32169,31.08
1054841,0.01446,0.94874,-0.32246,31.08
1054842,0.01353,0.95063,-0.32498,31.08
1054843,0.01469,0.94996,-0.32363,31.08
1054844,0.01302,0.94766,-0.32311,31.08
1054846,0.01211,0.94683,-0.32215,31.08
1054847,0.01202,0.94474,-0.32064,31.08
1054848,0.00845,0.94490,-0.31975,31.30
1054849,0.01221,0.94338,-0.32027,31.30
1054851,0.01057,0.94320,-0.32194,31.30
1054852,0.01068,0.94603,-0.32176,31.30
1054853,0.01094,0.94313,-0.32258,31.30
1054854,0.00917,0.94408,-0.32220,31.30
1054855,0.01240,0.94400,-0.32288,31.08
1054856,0.00978,0.94415,-0.32260,31.08
1054858,0.01099,0.94422,-0.32005,31.08
1054859,0.01044,0.94246,-0.32262,31.08
1054861,0.01063,0.94323,-0.32278,31.08
1054862,0.01191,0.94144,-0.32242,31.08
1054863,0.01133,0.94237,-0.32048,31.08
1054864,0.01158,0.94049,-0.32106,31.19
1054865,0.01275,0.94254,-0.32196,31.19
1054867,0.01204,0.94307,-0.32148,31.19
1054868,0.01017,0.94570,-0.32441,31.19
1054869,0.01236,0.94535,-0.32507,31.19
1054870,0.00980,0.94648,-0.32572,31.19
1054871,0.00787,0.94709,-0.32433,31.30
1054872,0.00858,0.94703,-0.32437,31.30
1054874,0.00679,0.94644,-0.32173,31.30
1054876,0.01006,0.94385,-0.32361,31.30
1054879,0.01104,0.94419,-0.32262,31.30
1054985,0.01119,0.94695,-0.32323,31.30
1054986,0.01081,0.94519,-0.32063,31.30
1054987,0.01086,0.94642,-0.32163,31.30
1054988,0.00938,0.94621,-0.32430,31.30
1054990,0.01229,0.94690,-0.32346,31.30
1054991,0.01083,0.94563,-0.32480,31.30
1054992,0.01099,0.94509,-0.32387,31.19
1054993,0.01032,0.94218,-0.32494,31.19
1054994,0.00829,0.94311,-0.32216,31.19
1054996,0.00824,0.94146,-0.32093,31.19
1054997,0.01225,0.94301,-0.32159,31.19
1054998,0.01095,0.94297,-0.32349,31.19
1055000,0.01162,0.94376,-0.32430,31.08
1055001,0.01126,0.94358,-0.32542,31.08
1055002,0.01092,0.94446,-0.32513,31.08
1055003,0.00847,0.94298,-0.32547,31.08
1055004,0.00737,0.94283,-0.32272,31.08
1055005,0.00914,0.94264,-0.32247,31.08
1055007,0.00838,0.94297,-0.32119,31.08
1055008,0.01117,0.94310,-0.32359,31.19
1055009,0.01085,0.94263,-0.32501,31.19
1055010,0.01042,0.94389,-0.32417,31.19
1055011,0.00964,0.94345,-0.32488,31.19
1055012,0.00844,0.94355,-0.32294,31.19
1055014,0.00888,0.94333,-0.32219,31.19
1055015,0.00868,0.94284,-0.32131,31.19
1055016,0.00897,0.94218,-0.32031,31.19
1055017,0.00927,0.94230,-0.32086,31.19
1055018,0.01149,0.94143,-0.32163,31.19
1055020,0.01117,0.94293,-0.32216,31.19
1055021,0.01269,0.94349,-0.32241,31.19
1055022,0.01365,0.94294,-0.32202,31.19
1055023,0.01264,0.94313,-0.32254,31.19
1055024,0.01088,0.94330,-0.32211,31.19
1055025,0.00966,0.94323,-0.32099,31.19
1055027,0.00843,0.94304,-0.32290,31.19
1055030,0.01068,0.94398,-0.32113,31.19
1055047,0.01020,0.94573,-0.32336,31.19
1055049,0.00955,0.94491,-0.32319,31.19
1055050,0.00961,0.94448,-0.32094,31.19
1055051,0.00970,0.94327,-0.32063,31.19
1055052,0.01096,0.94219,-0.32124,31.19
1055053,0.01176,0.94263,-0.32186,31.19
1055055,0.01110,0.94259,-0.32316,31.19
1055056,0.00998,0.94111,-0.32249,31.19
1055057,0.01064,0.94127,-0.32253,31.19
1055058,0.00944,0.94125,-0.32283,31.19
1055060,0.00943,0.94123,-0.32197,31.19
1055061,0.00908,0.94142,-0.32118,31.19
1055063,0.01024,0.94243,-0.32107,31.19
1055064,0.01035,0.94391,-0.32195,31.19
1055065,0.00993,0.94359,-0.32335,31.19
1055067,0.00909,0.94408,-0.32422,31.19
1055068,0.00901,0.94459,-0.32340,31.19
1055069,0.01034,0.94543,-0.32322,31.19
1055070,0.01035,0.94486,-0.32273,31.19
1055072,0.01071,0.94529,-0.32249,31.30
1055073,0.01066,0.94488,-0.32315,31.30
1055074,0.00934,0.94508,-0.32225,31.30
1055075,0.01090,0.94416,-0.32202,31.30
1055076,0.00938,0.94352,-0.32073,31.30
1055078,0.01024,0.94332,-0.32156,31.30
1055079,0.01087,0.94233,-0.32109,31.30
1055080,0.01108,0.94229,-0.32180,31.30
1055081,0.01196,0.94267,-0.32063,31.30
1055082,0.01215,0.94363,-0.32331,31.30
1055083,0.01326,0.94398,-0.32317,31.30
1055085,0.01131,0.94490,-0.32441,31.30
1055086,0.00831,0.94528,-0.32241,31.30
1055087,0.00840,0.94547,-0.32243,31.30
1055088,0.01001,0.94588,-0.32182,31.30
1055089,0.00869,0.94621,-0.32193,31.30
1055091,0.01129,0.94651,-0.32186,31.30
1055094,0.01546,0.94816,-0.32304,31.30
1055126,0.00619,0.94070,-0.32144,31.41
1055127,0.00753,0.94275,-0.32149,31.41
1055128,0.01064,0.94175,-0.32000,31.30
1055129,0.01047,0.94235,-0.31918,31.30
1055131,0.01326,0.94299,-0.32166,31.30
1055132,0.01407,0.94350,-0.32118,31.30
1055133,0.01567,0.94326,-0.32220,31.30
1055134,0.01520,0.94320,-0.32323,31.30
1055136,0.01225,0.94383,-0.32140,31.30
1055137,0.01039,0.94409,-0.32140,31.19
1055138,0.00944,0.94345,-0.32171,31.19
1055139,0.00823,0.94302,-0.32136,31.19
1055140,0.00824,0.94260,-0.32113,31.19
1055142,0.00792,0.94201,-0.32204,31.19
1055143,0.00853,0.94277,-0.32321,31.19
1055145,0.01255,0.94348,-0.32389,31.19
1055147,0.01113,0.94089,-0.32323,31.19
1055148,0.01124,0.94146,-0.32212,31.19
1055149,0.01142,0.94044,-0.32095,31.19
1055150,0.01062,0.94046,-0.32096,31.19
1055152,0.01074,0.94143,-0.32057,31.19
1055153,0.01012,0.94334,-0.32192,31.08
1055155,0.01223,0.94518,-0.32365,31.08
1055156,0.01241,0.94459,-0.32517,31.08
1055157,0.00926,0.94772,-0.32382,31.08
1055158,0.01042,0.94669,-0.32484,31.08
1055159,0.00941,0.94639,-0.32498,31.08
1055161,0.01149,0.94328,-0.32351,31.19
1055162,0.00716,0.94459,-0.32087,31.19
1055163,0.00560,0.94261,-0.32166,31.19
1055164,0.00946,0.94392,-0.32114,31.19
1055165,0.01269,0.94318,-0.32297,31.19
1055167,0.01179,0.94538,-0.32305,31.19
1055168,0.01257,0.94369,-0.32391,31.30
1055170,0.01180,0.94587,-0.32289,31.30
1055171,0.01378,0.94627,-0.32432,31.30
1055174,0.01132,0.94702,-0.32525,31.30
1055180,0.00683,0.93807,-0.32176,31.19
1055181,0.00592,0.94300,-0.32007,31.19
1055182,0.00894,0.94536,-0.32185,31.19
1055183,0.00700,0.94673,-0.32684,31.19
1055184,0.00358,0.94827,-0.32567,31.19
1055185,0.00548,0.94848,-0.32639,31.19
1055187,0.00933,0.94952,-0.31996,31.19
1055188,0.01164,0.94929,-0.31400,31.19
1055189,0.01594,0.94944,-0.31326,31.19
1055190,0.02153,0.94632,-0.31363,31.19
1055191,0.02253,0.94481,-0.31951,31.19
1055193,0.02226,0.94429,-0.32218,31.30
1055194,0.02105,0.94236,-0.32551,31.30
1055195,0.01404,0.94230,-0.32481,31.30
1055196,0.00911,0.94286,-0.32374,31.30
1055197,0.00398,0.94405,-0.32154,31.30
1055198,0.00143,0.94328,-0.32149,31.30
1055200,0.00135,0.94536,-0.32093,31.30
1055201,0.00409,0.94669,-0.32298,31.08
1055202,0.00829,0.95055,-0.32441,31.08
1055203,0.01231,0.95155,-0.32684,31.08
1055204,0.01617,0.95402,-0.32655,31.08
1055205,0.01737,0.95211,-0.32574,31.08
1055207,0.01336,0.94807,-0.32571,31.08
1055208,0.01323,0.94525,-0.32340,31.08
1055209,0.01166,0.94115,-0.32016,31.08
1055210,0.01060,0.93841,-0.31688,31.08
1055211,0.01120,0.93750,-0.31486,31.08
1055213,0.01261,0.93736,-0.31633,31.08
1055214,0.01339,0.93925,-0.31819,31.08
1055215,0.01383,0.94128,-0.31931,31.08
1055216,0.01323,0.94353,-0.32418,31.19
1055217,0.01248,0.94514,-0.32351,31.19
1055218,0.01080,0.94647,-0.32407,31.19
1055220,0.00786,0.94654,-0.32364,31.19
1055221,0.00777,0.94634,-0.32366,31.19
1055223,0.00609,0.94463,-0.32660,31.19
1055225,0.00915,0.94296,-0.32581,31.30
1055226,0.01019,0.94453,-0.32520,31.30
1055227,0.01228,0.94433,-0.32609,31.30
1055228,0.01265,0.94326,-0.32497,31.30
1055229,0.01188,0.94287,-0.32576,31.30
1055231,0.01096,0.94223,-0.32544,31.30
1055232,0.01003,0.94102,-0.32536,31.30
1055233,0.00775,0.94179,-0.32386,31.19
1055234,0.00595,0.94298,-0.32435,31.19
1055235,0.00568,0.94300,-0.32216,31.19
1055236,0.00599,0.94372,-0.32145,31.19
1055238,0.00693,0.94447,-0.32138,31.19
1055239,0.00815,0.94366,-0.32143,31.19
1055240,0.01099,0.94246,-0.32140,31.52
1055241,0.01171,0.94338,-0.32239,31.52
1055242,0.01345,0.94283,-0.32159,31.52
1055244,0.01363,0.94190,-0.32010,31.52
1055245,0.01178,0.93939,-0.32129,31.52
1055246,0.01011,0.93807,-0.32007,31.52
1055247,0.00837,0.93630,-0.31956,31.52
1055249,0.00763,0.93683,-0.31843,30.97
1055250,0.00881,0.93633,-0.31969,30.97
1055252,0.00944,0.93827,-0.31966,30.97
1055253,0.01171,0.94022,-0.32018,30.97
1055254,0.01149,0.94175,-0.32179,30.97
